epoch;training_loss;validation_loss;difference;accuracy
418;1.92035;1.93380;0.01345;0.38070
419;1.91985;1.93541;0.01556;0.37840
420;1.91951;1.93524;0.01573;0.37700
421;1.91954;1.92853;0.00899;0.37800
422;1.92069;1.93660;0.01592;0.38040
423;1.91949;1.93223;0.01274;0.37840
424;1.92067;1.93669;0.01602;0.38100
425;1.92014;1.93438;0.01424;0.38020
426;1.91959;1.93458;0.01499;0.37950
427;1.91918;1.93200;0.01281;0.37980
428;1.92115;1.93668;0.01553;0.37910
429;1.92020;1.93199;0.01179;0.37830
430;1.91956;1.93039;0.01083;0.38060
431;1.91883;1.92749;0.00865;0.37760
432;1.91980;1.92798;0.00818;0.38290
433;1.91916;1.93222;0.01306;0.38230
434;1.92011;1.92842;0.00832;0.37710
435;1.91934;1.92847;0.00913;0.38060
436;1.91979;1.92802;0.00822;0.37950
437;1.92052;1.92711;0.00658;0.37540
438;1.92102;1.93683;0.01581;0.37850
439;1.91965;1.93277;0.01312;0.38090
440;1.91962;1.93352;0.01390;0.37780
441;1.92003;1.92848;0.00845;0.37710
442;1.91908;1.93226;0.01318;0.38170
443;1.91859;1.93168;0.01309;0.37970
444;1.91978;1.93126;0.01148;0.38360
445;1.91883;1.93120;0.01236;0.38150
446;1.92053;1.93185;0.01132;0.38160
447;1.91992;1.93440;0.01448;0.38020
448;1.92025;1.93072;0.01047;0.37800
449;1.91886;1.93004;0.01118;0.37930
450;1.91960;1.93124;0.01164;0.37590
451;1.91909;1.93034;0.01124;0.38060
452;1.92039;1.93449;0.01410;0.38390
453;1.92090;1.93271;0.01181;0.37660
454;1.91984;1.93007;0.01023;0.37930
455;1.92066;1.93589;0.01523;0.38110
456;1.92003;1.93062;0.01058;0.37290
457;1.92123;1.93873;0.01750;0.37480
458;1.92238;1.93315;0.01077;0.37680
459;1.91970;1.93182;0.01212;0.37670
460;1.92109;1.93771;0.01662;0.38130
461;1.91988;1.93446;0.01458;0.38140
462;1.92074;1.93451;0.01378;0.37880
463;1.92002;1.92674;0.00672;0.38190
464;1.92050;1.93256;0.01206;0.37820
465;1.92001;1.93532;0.01531;0.38020
466;1.91930;1.93404;0.01474;0.38020
467;1.92136;1.93323;0.01187;0.37620
468;1.91975;1.93385;0.01410;0.37820
469;1.91938;1.93128;0.01190;0.38160
470;1.92047;1.93056;0.01009;0.37540
471;1.91980;1.93534;0.01553;0.37820
472;1.91938;1.93082;0.01144;0.37740
473;1.91877;1.92781;0.00904;0.38210
474;1.92024;1.93220;0.01196;0.38070
475;1.92081;1.93253;0.01171;0.37800
476;1.91990;1.92693;0.00703;0.37960
477;1.92058;1.93127;0.01069;0.37310
478;1.91982;1.93452;0.01469;0.37880
479;1.92040;1.93817;0.01776;0.37910
480;1.92110;1.93424;0.01314;0.37750
481;1.91908;1.93284;0.01376;0.37800
482;1.92028;1.93015;0.00987;0.37790
483;1.92168;1.93021;0.00852;0.38010
484;1.91893;1.92892;0.00998;0.37940
485;1.92123;1.93216;0.01093;0.37600
486;1.92002;1.92754;0.00751;0.38230
487;1.92129;1.93225;0.01096;0.37550
488;1.92054;1.93441;0.01386;0.37650
489;1.91981;1.93396;0.01415;0.37490
490;1.91938;1.92929;0.00991;0.37920
491;1.92061;1.92966;0.00905;0.37830
492;1.92113;1.93391;0.01277;0.37730
493;1.92040;1.92929;0.00889;0.37330
494;1.92025;1.93219;0.01193;0.37780
495;1.91976;1.93384;0.01408;0.38050
496;1.91933;1.93257;0.01324;0.37870
497;1.92105;1.92835;0.00730;0.37150
498;1.92039;1.93403;0.01364;0.37890
499;1.91971;1.93196;0.01225;0.38250
500;1.92045;1.92874;0.00828;0.37890
501;1.91961;1.93101;0.01140;0.37550
502;1.91933;1.93244;0.01311;0.37470
503;1.91948;1.93404;0.01455;0.38210
504;1.91959;1.93128;0.01170;0.37760
505;1.92012;1.93112;0.01100;0.37840
506;1.91925;1.93167;0.01241;0.38130
507;1.91931;1.92860;0.00929;0.37930
508;1.91973;1.93220;0.01247;0.37980
509;1.92065;1.93176;0.01112;0.37650
510;1.92017;1.93421;0.01404;0.37720
511;1.91879;1.93016;0.01137;0.37960
512;1.91987;1.93010;0.01022;0.37720
513;1.92013;1.93076;0.01063;0.38120
514;1.92051;1.92996;0.00945;0.37950
515;1.92011;1.92692;0.00682;0.37850
516;1.92003;1.93272;0.01270;0.37970
517;1.92033;1.93472;0.01438;0.38040
518;1.92030;1.93528;0.01498;0.37750
519;1.91912;1.92959;0.01047;0.38020
520;1.92317;1.93390;0.01073;0.37420
521;1.92206;1.92927;0.00721;0.37260
522;1.92036;1.92783;0.00747;0.37790
523;1.92070;1.92915;0.00845;0.38010
524;1.92017;1.93349;0.01333;0.38340
525;1.91916;1.93205;0.01288;0.37860
526;1.91972;1.93436;0.01463;0.37850
527;1.92095;1.93387;0.01292;0.38120
528;1.92195;1.93669;0.01474;0.37860
529;1.92001;1.93049;0.01048;0.37790
530;1.91929;1.92902;0.00973;0.37980
531;1.91954;1.93038;0.01084;0.37660
532;1.91953;1.93302;0.01349;0.38370
533;1.92202;1.92829;0.00626;0.37690
534;1.91941;1.93088;0.01147;0.37900
535;1.91972;1.92961;0.00989;0.37870
536;1.92143;1.93649;0.01506;0.37540
537;1.92004;1.93197;0.01194;0.37610
538;1.92050;1.93220;0.01170;0.38190
539;1.92013;1.93298;0.01285;0.37670
540;1.92155;1.93214;0.01059;0.37730
541;1.91939;1.93100;0.01161;0.38110
542;1.92012;1.92715;0.00704;0.37570
543;1.92045;1.93296;0.01251;0.37520
544;1.91956;1.93241;0.01285;0.37970
545;1.92023;1.93066;0.01043;0.37750
546;1.91962;1.93481;0.01519;0.38120
547;1.92009;1.93105;0.01097;0.38170
548;1.91974;1.93577;0.01603;0.38110
549;1.91991;1.92710;0.00720;0.37730
550;1.92072;1.92864;0.00792;0.37830
551;1.92095;1.93412;0.01318;0.38200
552;1.91939;1.93010;0.01072;0.38290
553;1.91961;1.93085;0.01124;0.37680
554;1.92094;1.93385;0.01291;0.37550
555;1.92091;1.93165;0.01073;0.37740
556;1.92031;1.92889;0.00858;0.37540
557;1.91887;1.92959;0.01072;0.37790
558;1.91969;1.93271;0.01302;0.38040
559;1.92027;1.92902;0.00875;0.37670
560;1.91953;1.92816;0.00863;0.37870
561;1.91917;1.93074;0.01157;0.38280
562;1.92166;1.92907;0.00741;0.38350
563;1.92041;1.93099;0.01058;0.37750
564;1.91834;1.93183;0.01349;0.38230
565;1.92048;1.93072;0.01024;0.38160
566;1.92038;1.93450;0.01412;0.37650
567;1.91948;1.92855;0.00907;0.37780
568;1.91926;1.93014;0.01088;0.38010
569;1.91911;1.93366;0.01456;0.37540
570;1.91920;1.93482;0.01562;0.38010
571;1.91984;1.92979;0.00996;0.38260
572;1.92099;1.93763;0.01664;0.37880
573;1.91983;1.93168;0.01185;0.37960
574;1.92005;1.92975;0.00970;0.37770
575;1.92103;1.93861;0.01759;0.37850
576;1.91913;1.92864;0.00951;0.37860
577;1.92104;1.93291;0.01186;0.37960
578;1.91922;1.92938;0.01016;0.37800
579;1.91975;1.93085;0.01111;0.37660
580;1.91912;1.93224;0.01312;0.37710
581;1.92031;1.93730;0.01699;0.38020
582;1.91905;1.93182;0.01278;0.37630
583;1.92016;1.93455;0.01439;0.38140
584;1.92100;1.93263;0.01163;0.37850
585;1.92000;1.92973;0.00973;0.37620
586;1.92005;1.93075;0.01070;0.37850
587;1.92016;1.93223;0.01207;0.37770
588;1.91970;1.93289;0.01319;0.38160
589;1.92049;1.93578;0.01529;0.37950
590;1.91965;1.92963;0.00997;0.37990
591;1.92141;1.93376;0.01235;0.37710
592;1.91963;1.93028;0.01065;0.37960
593;1.91810;1.92986;0.01177;0.37960
594;1.91963;1.92944;0.00980;0.37870
595;1.91933;1.93358;0.01424;0.37870
596;1.92118;1.92928;0.00810;0.37430
597;1.91954;1.93488;0.01534;0.38090
598;1.92044;1.92942;0.00898;0.38030
599;1.91914;1.92951;0.01037;0.37830
600;1.91970;1.93142;0.01172;0.37900
601;1.91957;1.93237;0.01280;0.38240
602;1.91998;1.93331;0.01333;0.37800
603;1.91798;1.92835;0.01037;0.38120
604;1.92127;1.93487;0.01360;0.37160
605;1.91994;1.93167;0.01173;0.37400
606;1.92038;1.92951;0.00914;0.38050
607;1.92301;1.93755;0.01454;0.38030
608;1.91999;1.93269;0.01270;0.38040
609;1.91919;1.92933;0.01014;0.38420
610;1.91878;1.93453;0.01575;0.38010
611;1.92029;1.93305;0.01276;0.37700
612;1.92063;1.92838;0.00775;0.38080
613;1.91905;1.92973;0.01069;0.37880
614;1.91900;1.93226;0.01325;0.37660
615;1.92189;1.93436;0.01247;0.37970
616;1.92292;1.93310;0.01018;0.37300
617;1.91901;1.93116;0.01215;0.38060
618;1.91996;1.93172;0.01177;0.38130
619;1.92103;1.93075;0.00973;0.37770
620;1.92079;1.93166;0.01087;0.38320
621;1.91991;1.92896;0.00905;0.37950
622;1.92016;1.93415;0.01400;0.38310
623;1.92019;1.93719;0.01699;0.37480
624;1.91935;1.93570;0.01636;0.38090
625;1.91932;1.92680;0.00749;0.38380
626;1.92033;1.92734;0.00701;0.37890
627;1.91906;1.92987;0.01081;0.37900
628;1.91979;1.93045;0.01067;0.38130
629;1.91977;1.93056;0.01079;0.37830
630;1.92027;1.93577;0.01549;0.38160
631;1.91938;1.93318;0.01380;0.38020
